pair_id,seed,stage,face_width,face_height,wh_ratio,jaw_width,cheek_width,temple_width,interocular_dist,nose_width,mouth_width,jaw_angle,contour_area,mut_head,mut_head_cheek,mut_head_chin,mut_head_ear,mut_head_ear_helix,mut_head_ear_lobule,mut_head_eye_botton lid,mut_head_eye_eyelashes,mut_head_eye_iris,mut_head_eye_pupil,mut_head_eye_sclera,mut_head_eye_tear duct,mut_head_eye_top lid,mut_head_eyebrow,mut_head_forehead,mut_head_frown,mut_head_hair,mut_head_hair_sideburns,mut_head_jaw,mut_head_moustache,mut_head_mouth_inferior lip,mut_head_mouth_oral comisure,mut_head_mouth_superior lip,mut_head_mouth_teeth,mut_head_neck,mut_head_nose,mut_head_nose_ala of nose,mut_head_nose_bridge,mut_head_nose_nose tip,mut_head_nose_nostril,mut_head_philtrum,mut_head_temple,mut_head_wrinkles
p1,-1,Original_Father,569.1063232421875,493.1227111816406,1.1540865898132324,463.2763671875,542.033203125,483.0165710449219,144.03125,113.0398178100586,211.28652954101562,103.34426879882812,255918.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,-1,Original_Mother,577.0008544921875,479.0668029785156,1.2044267654418945,474.0094909667969,548.0328369140625,496.0040283203125,147.01361083984375,100.04499053955078,236.25621032714844,111.4495849609375,263217.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,-1,Recon_Father,574.013916015625,495.0818176269531,1.1594324111938477,480.2041320800781,553.1527709960938,482.0166015625,145.0,120.01666259765625,213.0211181640625,107.60810852050781,263664.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,-1,Recon_Mother,578.0311279296875,472.0042419433594,1.2246311902999878,478.00103759765625,555.0324096679688,484.0506286621094,147.00340270996094,109.0,241.0186767578125,112.89616394042969,264112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p2,-1,Original_Father,598.0677490234375,482.02593994140625,1.2407376766204834,495.036376953125,572.0008544921875,472.1059265136719,163.00306701660156,144.0,239.00836181640625,110.72087860107422,272920.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p2,-1,Original_Mother,602.0531616210938,468.2093505859375,1.2858631610870361,466.3914794921875,571.3501586914062,476.177490234375,151.082763671875,123.06502532958984,228.2191925048828,103.2938232421875,257241.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p2,-1,Recon_Father,616.0292358398438,483.0838317871094,1.2752015590667725,501.0010070800781,583.0214233398438,495.0040283203125,160.0,143.0139923095703,239.00209045410156,111.4998779296875,274827.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p2,-1,Recon_Mother,603.2686157226562,470.56243896484375,1.2820160388946533,467.7798767089844,568.1065063476562,475.00103759765625,150.00332641601562,122.01639556884766,223.27113342285156,104.5457763671875,260025.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3,-1,Original_Father,560.4721069335938,498.0,1.1254459619522095,452.07080078125,530.159423828125,467.2408447265625,159.02830505371094,128.19126892089844,245.13058471679688,97.53150939941406,240923.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3,-1,Original_Mother,588.1224365234375,507.0009765625,1.160002589225769,481.4156188964844,577.0554809570312,486.08331298828125,138.05795288085938,141.0319061279297,278.3038024902344,105.0881576538086,286459.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3,-1,Recon_Father,556.0081176757812,500.0,1.112016201019287,441.01019287109375,521.015380859375,465.0096740722656,154.0,124.00403594970703,238.00840759277344,100.75917053222656,244741.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3,-1,Recon_Mother,594.1422119140625,506.00396728515625,1.1741849184036255,492.1717224121094,581.0008544921875,495.0818176269531,137.00364685058594,136.13229370117188,285.028076171875,103.86097717285156,287980.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4,-1,Original_Father,571.031494140625,493.0821533203125,1.1580859422683716,467.0524597167969,532.0460205078125,472.03814697265625,165.04847717285156,114.0,225.00889587402344,106.26664733886719,258740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
